boro,gx,gy,lat,lon,total_count,early_count,recent_count,early_rate,recent_rate,rate_diff,years_active,years_ge3,precinct,loc_class,late_share,street_share,housing_share,recent_rank_boro,emerging_rank_boro,persistent_score,persistent_rank_boro,fading_rank_boro,view
BRONX,0,35,40.817427903749994,-73.90722848906249,32,8,6,1.3333333333333333,2.0,0.6666666666666667,17,5,40,HOUSING,50.0,15.625,84.375,12.0,38.0,42.49650756146648,5.0,569.0,Recent hotspots
BRONX,9,58,40.869453934,-73.880184792,20,4,6,0.6666666666666666,2.0,1.3333333333333335,11,2,52,STREET,55.00000000000001,80.0,0.0,16.0,9.0,27.044522437723423,108.0,599.0,Recent hotspots
BRONX,0,43,40.835242176428565,-73.90818461571429,28,10,6,1.6666666666666667,2.0,0.33333333333333326,15,4,42,HOUSING,60.71428571428571,35.714285714285715,57.14285714285714,13.0,111.0,37.367295829986475,21.0,496.0,Recent hotspots
BRONX,1,51,40.85376774777777,-73.90458075037039,27,9,6,1.5,2.0,0.5,17,2,46,STREET,51.85185185185185,85.18518518518519,0.0,14.0,61.0,39.3322045101752,15.0,537.0,Recent hotspots
BRONX,-5,32,40.81126719466667,-73.922542122,15,6,6,1.0,2.0,1.0,11,0,40,HOUSING,46.666666666666664,20.0,80.0,10.0,18.0,24.77258872223978,143.0,582.0,Recent hotspots
BRONX,15,42,40.83268970230769,-73.86370693692308,13,3,5,0.5,1.6666666666666667,1.1666666666666667,9,1,43,STREET,69.23076923076923,84.61538461538461,0.0,30.0,14.0,21.63905732961526,186.0,596.0,Recent hotspots
BRONX,13,39,40.82639166333333,-73.86920624666668,18,6,5,1.0,1.6666666666666667,0.6666666666666667,13,1,43,HOUSING,55.55555555555556,22.22222222222222,72.22222222222221,29.0,41.0,29.944438979166442,77.0,572.0,Recent hotspots
BRONX,16,67,40.88979165,-73.85955968615384,13,0,5,0.0,1.6666666666666667,1.6666666666666667,9,1,47,STREET,23.076923076923077,84.61538461538461,0.0,31.0,7.0,21.63905732961526,188.0,601.0,Recent hotspots
BRONX,9,47,40.84434926823529,-73.8806572014706,34,12,5,2.0,1.6666666666666667,-0.33333333333333326,17,7,48,STREET,67.64705882352942,85.29411764705883,0.0,28.0,351.0,44.55534806148941,2.0,261.0,Recent hotspots
BRONX,16,69,40.89408941916667,-73.8599521225,12,3,5,0.5,1.6666666666666667,1.1666666666666667,8,2,47,STREET,50.0,66.66666666666666,0.0,32.0,15.0,20.564949357461536,205.0,597.0,Recent hotspots
BRONX,8,48,40.84628294848485,-73.88431595272726,33,11,5,1.8333333333333333,1.6666666666666667,-0.16666666666666652,16,4,48,STREET,60.60606060606061,78.78787878787878,0.0,27.0,250.0,39.52636052461616,12.0,358.0,Recent hotspots
BRONX,-7,43,40.83522551478261,-73.92822386391305,23,9,5,1.5,1.6666666666666667,0.16666666666666674,15,2,44,STREET,60.86956521739131,86.95652173913044,0.0,17.0,113.0,35.17805383034795,32.0,495.0,Recent hotspots
BRONX,2,58,40.86895457666666,-73.90190536055555,18,3,5,0.5,1.6666666666666667,1.1666666666666667,13,1,50,STREET,72.22222222222221,94.44444444444444,0.0,26.0,13.0,29.944438979166442,76.0,595.0,Recent hotspots
BRONX,1,55,40.86246255066667,-73.90412225533333,15,4,5,0.6666666666666666,1.6666666666666667,1.0,11,1,52,STREET,73.33333333333333,66.66666666666666,0.0,25.0,23.0,25.77258872223978,130.0,587.0,Recent hotspots
BRONX,2,51,40.85359477756098,-73.90068206682926,41,9,22,1.5,7.333333333333333,5.833333333333333,17,3,46,STREET,48.78048780487805,85.36585365853658,2.4390243902439024,1.0,1.0,40.73766961828337,9.0,607.0,Emerging hotspots
BRONX,2,47,40.84421140961538,-73.9007538326923,26,5,15,0.8333333333333334,5.0,4.166666666666667,11,3,48,STREET,61.53846153846154,92.3076923076923,0.0,3.0,2.0,28.29583686600433,90.0,606.0,Emerging hotspots
BRONX,-1,37,40.82219326068965,-73.91147810827586,29,6,14,1.0,4.666666666666667,3.666666666666667,13,2,42,STREET,58.620689655172406,93.10344827586206,3.4482758620689653,4.0,3.0,31.401197381662154,52.0,605.0,Emerging hotspots
BRONX,-4,44,40.83790593027027,-73.91954259864865,37,9,15,1.5,5.0,3.5,16,4,44,STREET,56.75675675675676,72.97297297297297,0.0,2.0,4.0,39.63758615972638,11.0,604.0,Emerging hotspots
BRONX,13,37,40.82278780769231,-73.86963521192307,26,7,12,1.1666666666666667,4.0,2.833333333333333,12,3,43,STREET,73.07692307692307,65.38461538461539,7.6923076923076925,5.0,5.0,30.29583686600433,66.0,603.0,Emerging hotspots
